City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Shimoda,JP,34.6667,138.95,58.14,67,91,10.78,overcast clouds
1,Busselton,AU,-33.65,115.3333,53.1,82,30,6.26,scattered clouds
2,Le Port,RE,-20.9373,55.2919,75.2,95,55,7.92,broken clouds
3,Rikitea,PF,-23.1203,-134.9692,74.71,82,72,19.44,broken clouds
4,Karratha,AU,-20.7377,116.8463,80.31,41,83,6.64,broken clouds
5,Conceicao Do Araguaia,BR,-8.2578,-49.2647,87.71,58,87,5.88,overcast clouds
6,Yellowknife,CA,62.456,-114.3525,42.42,79,40,19.57,scattered clouds
7,Port Alfred,ZA,-33.5906,26.891,61.2,70,27,29.28,scattered clouds
8,New Norfolk,AU,-42.7826,147.0587,51.66,82,100,5.01,light rain
9,Iqaluit,CA,63.7506,-68.5145,31.73,69,40,2.3,scattered clouds
10,Clyde River,CA,70.4692,-68.5914,23.49,80,96,15.39,overcast clouds
11,Hilo,US,19.7297,-155.09,73.26,96,90,5.75,moderate rain
12,Ostrovnoy,RU,68.0531,39.5131,28.71,83,100,16.06,overcast clouds
13,Dunedin,NZ,-45.8742,170.5036,53.8,83,100,8.99,overcast clouds
14,Saint-Prosper,CA,46.2117,-70.4811,42.69,55,97,4.85,overcast clouds
15,Ola,RU,59.5833,151.2833,24.73,71,98,11.25,overcast clouds
16,Punta Arenas,CL,-53.15,-70.9167,42.91,81,75,39.12,light intensity shower rain
17,Pemangkat,ID,1.1667,108.9667,78.71,80,98,2.44,overcast clouds
18,Klaksvik,FO,62.2266,-6.589,50.92,95,100,23.22,overcast clouds
19,Meulaboh,ID,4.1363,96.1285,76.87,89,94,2.89,overcast clouds
20,Guiratinga,BR,-16.3494,-53.7583,94.12,33,79,11.01,broken clouds
21,Ushuaia,AR,-54.8,-68.3,38.86,81,75,13.8,light rain
22,Cascais,PT,38.6979,-9.4215,72.75,52,0,6.91,clear sky
23,Mataura,NZ,-46.1927,168.8643,49.35,97,100,0.98,overcast clouds
24,Ribeira Grande,PT,38.5167,-28.7,72.0,60,20,10.36,few clouds
25,Hermanus,ZA,-34.4187,19.2345,57.9,70,62,8.14,broken clouds
26,Port Blair,IN,11.6667,92.75,80.42,78,90,1.83,overcast clouds
27,Pedernales,DO,18.0384,-71.744,87.01,55,29,0.81,scattered clouds
28,Black River,JM,18.0264,-77.8487,87.8,60,39,16.49,scattered clouds
29,Atuona,PF,-9.8,-139.0333,78.06,77,18,18.07,few clouds
30,Port Elizabeth,ZA,-33.918,25.5701,61.11,72,20,26.46,few clouds
31,Albany,US,42.6001,-73.9662,54.81,59,68,1.01,broken clouds
32,Teguldet,RU,57.3064,88.1667,37.04,96,100,15.41,light rain
33,Gayny,RU,60.3071,54.3241,38.7,85,96,10.0,overcast clouds
34,Bredasdorp,ZA,-34.5322,20.0403,58.32,72,68,10.36,broken clouds
